DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1,POR,real_value,pred_value
3938.19,139.465,102.812,4.972,77.084,2.70727,4.02,4.019999980926514,3.3299999237060547
3938.69,135.301,93.886,5.71,77.285,2.66749,3.62,3.619999885559082,4.070000171661377
3939.94,140.247,105.708,4.758,76.021,2.678,3.36,3.359999895095825,3.700000047683716
3940.815,148.527,109.188,5.263,75.254,2.66383,3.1,3.0999999046325684,3.690000057220459
3941.69,136.377,94.97,5.706,74.981,2.68899,3.5,3.5,3.2799999713897705
3943.315,144.606,104.111,5.552,76.803,2.67779,3.46,3.4600000381469727,3.6500000953674316
3944.44,142.185,107.269,4.713,74.126,2.67297,3.3,3.299999952316284,3.5799999237060547
3945.44,138.107,118.494,2.709,75.71,2.68042,3.23,3.2300000190734863,3.759999990463257
3946.565,139.974,100.053,5.587,73.609,2.66582,3.56,3.559999942779541,3.569999933242798
3947.565,144.559,106.725,5.185,74.802,2.65739,3.65,3.6500000953674316,3.819999933242798
3948.815,130.348,103.259,3.743,74.704,2.70287,4.27,4.269999980926514,3.5
3949.815,136.944,102.876,4.704,76.995,2.64917,3.96,3.9600000381469727,4.349999904632568
3950.94,139.666,122.55,2.357,77.361,2.67141,3.57,3.569999933242798,3.990000009536743
3951.94,132.745,107.795,3.467,76.611,2.64186,3.24,3.240000009536743,4.210000038146973
3952.94,137.849,113.75,3.26,76.369,2.67021,3.87,3.869999885559082,3.890000104904175
3953.815,143.858,119.522,3.312,77.386,2.68168,3.75,3.75,3.9600000381469727
3954.94,140.501,114.69,3.56,77.998,2.69073,3.91,3.9100000858306885,3.9100000858306885
3955.94,144.703,121.587,3.182,77.153,2.68858,3.81,3.809999942779541,3.890000104904175
3956.94,147.028,115.877,4.21,77.438,2.66866,3.27,3.2699999809265137,4.059999942779541
3958.315,142.992,112.486,4.232,77.383,2.69209,3.75,3.75,3.740000009536743
3959.065,147.172,113.906,4.584,77.329,2.693,4.07,4.070000171661377,3.690000057220459
3960.19,145.16,108.105,5.093,78.431,2.68088,4.2,4.199999809265137,3.9200000762939453
3960.94,149.385,104.857,6.099,78.649,2.686,4.55,4.550000190734863,3.7100000381469727
3961.69,159.0,107.964,7.084,78.55,2.68,4.02,4.019999980926514,3.700000047683716
3962.815,148.248,110.835,5.292,80.165,2.68483,3.6,3.5999999046325684,4.110000133514404
3963.565,163.172,118.832,6.032,79.176,2.67362,3.3,3.299999952316284,4.190000057220459
