DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,0
3422,156.127,116.538,5.237,83.954,2.61,0
3422.125,153.251,113.502,5.284,83.527,2.608,0
3422.25,151.725,110.48,5.492,83.074,2.608,0
3422.375,151.091,107.429,5.821,82.665,2.608,0
3422.5,150.798,104.423,6.193,82.426,2.606,0
3422.625,151.53,102.428,6.544,82.467,2.602,0
3422.75,153.798,102.224,6.821,82.766,2.597,0
3422.875,156.994,103.419,7.005,83.147,2.591,0
3423,159.526,104.754,7.106,83.444,2.584,0
3423.125,160.569,105.465,7.134,83.565,2.578,0
3423.25,160.441,105.477,7.128,83.427,2.573,0
3423.375,159.815,105.1,7.111,83.086,2.571,0
3423.5,158.043,103.735,7.093,82.526,2.574,0
3423.625,154.147,100.548,7.087,81.756,2.581,0
3423.75,148.562,95.918,7.096,80.818,2.591,0
3423.875,143.835,92.03,7.101,79.838,2.599,0
3424,143.146,91.625,7.085,79.045,2.604,0
3424.125,147.16,95.126,7.065,78.645,2.604,0
3424.25,153.576,100.292,7.084,78.62,2.6,0
3424.375,158.825,104.273,7.159,78.923,2.595,0
3424.5,160.982,105.656,7.259,79.533,2.592,0
3424.625,160.22,104.959,7.322,80.354,2.593,0
3424.75,158.291,103.733,7.315,81.186,2.595,0
3424.875,156.707,103.346,7.199,81.828,2.595,0
3425,156.29,104.672,6.945,82.233,2.591,0
3425.125,156.533,107.361,6.574,82.458,2.583,0
3425.25,156.481,110.297,6.133,82.564,2.575,0
3425.375,155.56,112.681,5.684,82.556,2.572,0
3425.5,154.179,114.401,5.285,82.446,2.574,0
3425.625,153.187,116.074,4.937,82.27,2.58,0
3425.75,152.775,117.931,4.628,82.024,2.588,0
3425.875,152.528,119.563,4.373,81.66,2.593,0
3426,151.643,120.415,4.15,81.166,2.595,0
3426.125,149.726,120.274,3.962,80.637,2.593,0
3426.25,147.027,119.101,3.811,80.143,2.589,0
3426.375,143.945,117.251,3.675,79.662,2.584,0
3426.5,140.979,115.197,3.549,79.148,2.581,0
3426.625,138.616,113.432,3.443,78.573,2.581,0
3426.75,137.027,112.208,3.365,77.976,2.585,0
3426.875,136.076,111.511,3.321,77.486,2.589,0
3427,135.414,110.924,3.302,77.117,2.591,0
3427.125,134.798,110.339,3.298,76.886,2.591,0
3427.25,134.544,110.039,3.308,76.828,2.594,0
3427.375,135.394,110.534,3.348,77.012,2.6,0
3427.5,137.612,111.725,3.46,77.514,2.609,0
3427.625,140.479,112.854,3.659,78.219,2.616,0
3427.75,142.749,112.71,3.962,79.012,2.618,0
3427.875,143.835,111,4.335,79.838,2.616,0
3428,144.033,108.172,4.744,80.686,2.613,0
3428.125,144.064,105.139,5.148,81.487,2.61,0
3428.25,144.112,102.464,5.495,82.118,2.608,0
3428.375,143.88,100.448,5.715,82.41,2.607,0
3428.5,143.174,99.114,5.786,82.402,2.606,0
3428.625,142.113,98.474,5.725,82.141,2.603,0
3428.75,140.626,98.006,5.597,81.715,2.599,0
3428.875,138.558,97.217,5.457,81.265,2.593,0
3429,136.299,96.184,5.339,80.93,2.59,0
3429.125,134.971,95.557,5.282,80.795,2.591,0
3429.25,135.656,95.902,5.295,80.9,2.596,0
3429.375,138.272,97.334,5.374,81.237,2.599,0
3429.5,141.85,99.341,5.501,81.785,2.598,0
3429.625,145.261,101.219,5.654,82.406,2.592,0
3429.75,147.714,102.551,5.793,82.959,2.586,0
3429.875,148.549,103.267,5.841,83.353,2.582,0
3430,147.717,103.528,5.747,83.551,2.581,0
3430.125,145.912,104.273,5.484,83.561,2.585,0
3430.25,144.732,106.809,5.048,83.424,2.592,0
3430.375,145.005,111.334,4.499,83.198,2.599,0
3430.5,146.429,116.948,3.926,82.963,2.606,0
3430.625,147.564,121.862,3.409,82.699,2.61,0
3430.75,147.364,124.58,3.023,82.322,2.611,0
3430.875,145.059,124.212,2.789,81.779,2.609,0
3431,140.998,121.241,2.699,81.169,2.603,0
3431.125,136.502,116.743,2.759,80.588,2.596,0
3431.25,133.53,112.668,2.938,80.071,2.589,0
3431.375,133.037,110.27,3.182,79.659,2.584,0
3431.5,134.998,109.664,3.481,79.416,2.581,0
3431.625,138.392,109.832,3.859,79.377,2.581,0
3431.75,142.19,110.104,4.299,79.522,2.582,0
3431.875,145.813,110.251,4.742,79.698,2.584,0
3432,149.2,111.024,5.078,79.839,2.589,0
3432.125,152.323,113.06,5.213,79.983,2.595,0
3432.25,155.725,116.951,5.13,80.172,2.603,0
3432.375,159.428,122.035,4.916,80.366,2.611,0
3432.5,162.538,126.486,4.708,80.493,2.619,0
3432.625,163.735,127.654,4.716,80.501,2.627,0
3432.75,162.593,124.667,5.02,80.374,2.634,0
3432.875,159.91,118.557,5.575,80.121,2.638,0
3433,157.986,112.236,6.245,79.777,2.637,0
3433.125,158.217,107.853,6.885,79.428,2.631,0
3433.25,160.672,106.155,7.404,79.177,2.62,0
3433.375,164.009,106.489,7.75,79.074,2.609,0
3433.5,166.959,108.146,7.885,79.148,2.598,0
3433.625,169.079,110.696,7.819,79.403,2.589,0
3433.75,170.977,114.048,7.624,79.815,2.584,0
3433.875,172.929,117.633,7.395,80.276,2.583,0
3434,174.976,120.478,7.255,80.682,2.584,0
3434.125,176.554,121.786,7.256,80.981,2.588,0
3434.25,177.215,120.939,7.426,81.161,2.592,0
