DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1
3938.19,139.465,102.812,4.972,77.084,2.70727
3938.315,138.499,100.195,5.193,77.096,2.69001
3938.44,137.838,98.314,5.364,77.148,2.67358
3938.565,136.38,95.9,5.541,77.199,2.665
3938.69,135.301,93.886,5.71,77.285,2.66749
3938.815,137.306,96.12,5.66,77.488,2.67684
3938.94,142.118,102.541,5.374,77.803,2.68647
3939.065,146.707,109.277,5.015,78.17,2.69075
3939.19,148.883,112.804,4.791,78.454,2.68803
3939.315,149.09,114.261,4.627,78.509,2.67877
3939.44,148.101,114.898,4.437,78.178,2.67099
3939.565,146.505,114.7,4.281,77.58,2.66963
3939.69,144.534,113.153,4.257,76.91,2.67388
3939.815,142.387,109.716,4.465,76.367,2.67759
3939.94,140.247,105.708,4.758,76.021,2.678
3940.065,138.955,103.125,4.964,75.896,2.678
3940.19,140.134,103.497,5.045,75.918,2.68054
3940.315,143.41,106.264,5.048,75.95,2.68647
3940.44,147.391,110.013,5.007,75.916,2.6898
3940.565,150.016,112.339,4.997,75.794,2.68339
3940.69,150.332,112.084,5.069,75.575,2.67153
3940.815,148.527,109.188,5.263,75.254,2.66383
3940.94,145.94,104.813,5.568,74.878,2.66542
3941.065,143.607,100.33,5.91,74.5,2.672
3941.19,142.544,97.393,6.167,74.206,2.67793
3941.315,142.242,95.92,6.301,74.075,2.68
3941.44,141.291,95.005,6.288,74.164,2.68092
3941.565,138.756,94.53,6.054,74.49,2.68313
3941.69,136.377,94.97,5.706,74.981,2.68899
3941.815,136.095,97.075,5.337,75.586,2.69974
3941.94,137.677,100.709,4.95,76.229,2.71241
3942.065,135.653,101.86,4.55,76.832,2.72024
3942.19,127.082,97.604,4.153,77.303,2.72124
3942.315,120.802,93.816,3.937,77.595,2.71718
3942.44,124.445,96.452,4.052,77.715,2.71404
3942.565,136.965,104.683,4.459,77.667,2.71705
3942.69,147.329,111.409,4.752,77.517,2.72033
3942.815,150.609,112.651,4.957,77.346,2.72004
3942.94,149.873,110.894,5.145,77.23,2.71397
3943.065,148.067,107.87,5.395,77.144,2.70325
3943.19,145.83,104.931,5.575,77.021,2.69094
3943.315,144.606,104.111,5.552,76.803,2.67779
3943.44,144.847,105.353,5.382,76.471,2.66614
3943.565,145.794,107.535,5.153,76.007,2.65797
3943.69,146.024,109.213,4.926,75.472,2.65355
3943.815,144.592,109.885,4.667,74.959,2.65418
3943.94,141.206,109.646,4.307,74.535,2.65891
3944.065,137.705,109.022,3.974,74.227,2.66684
3944.19,136.237,108.195,3.909,74.056,2.67604
3944.315,138.494,107.623,4.25,74.04,2.679
3944.44,142.185,107.269,4.713,74.126,2.67297
3944.565,144.525,107.033,5,74.294,2.66146
3944.69,144.124,106.883,4.983,74.541,2.65171
3944.815,142.601,106.857,4.827,74.822,2.65021
3944.94,141.751,107.862,4.592,75.093,2.65357
3945.065,141.464,110.205,4.237,75.339,2.66047
3945.19,140.216,112.961,3.712,75.548,2.66866
3945.315,138.273,115.563,3.129,75.678,2.67611
3945.44,138.107,118.494,2.709,75.71,2.68042
3945.565,140.221,121.737,2.528,75.662,2.68089
3945.69,142.62,123.69,2.561,75.527,2.6783
3945.815,143.841,123.244,2.775,75.31,2.676
3945.94,144.822,121.592,3.118,75.043,2.676
3946.065,145.712,118.808,3.599,74.77,2.67762
3946.19,144.745,113.658,4.193,74.497,2.67774
3946.315,141.712,106.265,4.881,74.214,2.67432
3946.44,139.348,100.964,5.379,73.916,2.66938
3946.565,139.974,100.053,5.587,73.609,2.66582
3946.69,143.774,103.177,5.572,73.329,2.66582
3946.815,148.217,107.53,5.468,73.162,2.667
3946.94,150.7,111.077,5.273,73.162,2.6669
3947.065,149.643,112.022,5.044,73.367,2.66526
3947.19,146.575,111.253,4.822,73.733,2.66362
3947.315,144.24,109.711,4.774,74.17,2.66295
3947.44,144.048,108.129,4.957,74.552,2.66034
3947.565,144.559,106.725,5.185,74.802,2.65739
3947.69,145.068,105.726,5.351,74.91,2.65505
3947.815,145.018,104.864,5.442,74.895,2.65674
3947.94,143.65,104.889,5.26,74.821,2.66434
3948.065,140.712,106.384,4.685,74.742,2.67421
3948.19,137.79,108.284,4.048,74.698,2.6835
3948.315,135.865,108.942,3.708,74.677,2.69158
3948.44,133.96,108.17,3.562,74.654,2.69737
3948.565,131.294,106.178,3.488,74.631,2.70326
3948.69,129.499,104.025,3.55,74.635,2.70593
3948.815,130.348,103.259,3.743,74.704,2.70287
3948.94,132.103,102.919,3.987,74.86,2.69326
3949.065,132.816,102.26,4.167,75.118,2.67912
3949.19,132.557,102.247,4.178,75.465,2.66658
3949.315,133.271,103.374,4.121,75.836,2.65721
3949.44,135.01,105.078,4.112,76.194,2.65318
3949.565,136.283,105.435,4.23,76.511,2.652
3949.69,136.702,104.453,4.435,76.781,2.65163
3949.815,136.944,102.876,4.704,76.995,2.64917
3949.94,137.36,101.475,4.97,77.174,2.647
3950.065,138.014,100.504,5.2,77.35,2.64811
3950.19,139.534,101.589,5.245,77.547,2.6505
3950.315,142.323,106.213,4.946,77.75,2.65379
3950.44,145.335,112.711,4.412,77.907,2.65911
3950.565,146.372,117.429,3.898,77.932,2.66501
3950.69,145.062,120.651,3.304,77.813,2.67063
3950.815,142.417,122.869,2.671,77.593,2.67295
3950.94,139.666,122.55,2.357,77.361,2.67141
3951.065,137.075,118.934,2.51,77.227,2.66705
3951.19,134.829,113.645,2.933,77.262,2.66052
3951.315,133.392,109.455,3.31,77.409,2.65597
3951.44,132.82,106.999,3.563,77.507,2.65632
3951.565,132.491,105.464,3.728,77.439,2.65879
3951.69,131.853,104.479,3.795,77.213,2.65626
3951.815,131.633,104.845,3.731,76.902,2.64861
3951.94,132.745,107.795,3.467,76.611,2.64186
3952.065,135.504,112.641,3.138,76.468,2.64342
3952.19,139.244,117.732,2.899,76.524,2.653
3952.315,141.4,119.628,2.904,76.728,2.66382
3952.44,140.661,117.416,3.114,76.934,2.66772
