DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,toc
3428.25,144.112,102.464,5.495,82.118,2.608,2.45
3429.125,134.971,95.557,5.282,80.795,2.591,2.37
3429.25,135.656,95.902,5.295,80.9,2.596,2.37
3429.875,148.549,103.267,5.841,83.353,2.582,2.84
3432,149.2,111.024,5.078,79.839,2.589,2.14
3432.75,162.593,124.667,5.02,80.374,2.634,2.31
3433.875,172.929,117.633,7.395,80.276,2.583,3.08
3434,174.976,120.478,7.255,80.682,2.584,3.08
3434.75,170.678,106,8.576,80.103,2.605,2.14
3434.875,168.717,104.612,8.517,79.384,2.611,2.14
3435.875,155.661,107.083,6.514,74.067,2.63,1.8
3436.75,148.065,110.56,4.978,74.95,2.629,1.79
3436.875,145.284,112.973,4.316,74.971,2.62,1.79
3437.875,141.303,103.08,4.962,77.729,2.588,2.75
3438.75,145.045,114.032,4.083,76.892,2.595,2.14
3438.875,144.869,113.617,4.13,76.849,2.591,2.14
3439.875,139.949,101.998,5.013,77.361,2.579,2.09
3441,131.712,87.333,5.988,75.752,2.594,2.14
3441.125,131.583,90.556,5.538,75.482,2.601,2.14
3442,138.285,96.689,5.418,74.911,2.598,2.5
3443.125,122.423,92.766,4.015,70.752,2.613,2.27
3444,134.988,97.135,5.223,75.156,2.582,1.8
3445.125,135.869,92.264,5.842,75.089,2.582,2.23
3446,132.458,100.817,4.236,72.268,2.583,2.32
3446.125,130.596,101.295,3.966,72.214,2.586,2.32
3447.125,129.87,100.621,3.927,72.257,2.572,2.47
3447.25,130.036,99.033,4.152,72.273,2.574,2.47
3448.125,133.87,97.094,4.886,72.583,2.562,2.63
3448.25,133.155,95.354,5.069,72.627,2.565,2.63
3449.25,129.211,84.638,5.982,72.422,2.579,2.67
3449.375,127.232,84.132,5.826,72.36,2.58,2.67
3450.25,132.809,90.816,5.539,73.646,2.556,2.92
3452.25,132.354,79.245,7.074,75.958,2.546,3.46
3453.25,138.761,97.279,5.727,76.23,2.541,3.23
3456.125,229.883,80.403,19.902,75.755,2.502,4.82
3456.25,229.572,78.271,20.2,74.785,2.499,4.82
3457.25,190.517,71.375,16.498,68.416,2.493,3.88
3458.375,222.83,71.758,20.94,68.327,2.486,4.12
3459.625,153.121,51.052,14.805,65.471,2.526,3.77
3460.5,105.84,63.747,5.798,65.335,2.51,3.1
3461.75,78.844,59.868,2.732,64.977,2.533,2.28
3462.625,69.14,40.455,4.063,63.711,2.544,1.81
3462.75,68.527,39.736,4.076,63.585,2.546,1.81
3463.625,86.579,66.849,2.757,62.504,2.599,1.65
3464.625,77.108,49.814,3.723,63.408,2.582,2.51
3446,132.458,100.817,4.236,72.268,2.583,2.32
3447.125,129.87,100.621,3.927,72.257,2.572,2.47
3449.25,129.211,84.638,5.982,72.422,2.579,2.67
3457.25,190.517,71.375,16.498,68.416,2.493,3.88
3464.625,77.108,49.814,3.723,63.408,2.582,2.51
3438.875,144.869,113.617,4.13,76.849,2.591,2.14
