DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3670,136.443,103.814,4.849,69.291,2.727
3670.125,137.36,101.807,5.141,69.514,2.723
3670.25,137.72,99.695,5.453,69.717,2.718
3670.375,137.861,97.593,5.788,69.907,2.712
3670.5,138.043,95.615,6.102,70.096,2.707
3670.625,138.535,93.724,6.322,70.281,2.702
3670.75,138.916,91.869,6.422,70.443,2.697
3670.875,138.585,90.414,6.414,70.55,2.694
3671,137.087,90.049,6.34,70.573,2.695
3671.125,134.854,91.331,6.207,70.5,2.698
3671.25,133.03,93.907,6.023,70.338,2.701
3671.375,132.933,96.693,5.807,70.12,2.703
3671.5,134.68,98.652,5.603,69.886,2.705
3671.625,137.552,99.324,5.462,69.669,2.71
3671.75,139.767,98.697,5.429,69.484,2.717
3671.875,140.194,97.073,5.513,69.345,2.722
3672,138.888,94.593,5.72,69.266,2.723
3672.125,137.058,91.724,6.015,69.275,2.72
3672.25,135.693,89.094,6.338,69.398,2.715
3672.375,134.984,87.463,6.616,69.643,2.714
3672.5,134.275,87.256,6.776,69.974,2.718
3672.625,133.341,88.41,6.782,70.302,2.727
3672.75,132.298,90.428,6.652,70.518,2.738
3672.875,131.455,92.642,6.438,70.534,2.748
3673,130.905,94.342,6.211,70.323,2.756
3673.125,130.711,94.854,6.041,69.924,2.764
3673.25,130.974,94.162,5.955,69.423,2.772
3673.375,131.863,92.747,5.989,68.932,2.779
3673.5,133.26,91.221,6.195,68.555,2.784
3673.625,134.84,89.764,6.585,68.352,2.781
3673.75,136.5,88.236,7.141,68.325,2.771
3673.875,138.44,86.453,7.769,68.43,2.757
3674,140.584,84.541,8.339,68.594,2.743
3674.125,142.627,82.277,8.789,68.754,2.73
3674.25,144.042,79.694,9.106,68.871,2.718
3674.375,144.373,77.509,9.263,68.949,2.705
3674.5,143.542,77.105,9.204,69.029,2.693
3674.625,141.895,79.6,8.826,69.166,2.687
3674.75,139.925,84.577,8.15,69.391,2.688
3674.875,138.39,90.945,7.253,69.705,2.696
3675,137.772,97.72,6.268,70.093,2.707
3675.125,138.173,105.073,5.24,70.547,2.716
3675.25,139.312,113.143,4.211,71.076,2.722
3675.375,140.745,120.772,3.309,71.672,2.726
3675.5,141.983,125.554,2.751,72.287,2.729
3675.625,142.758,126.032,2.639,72.839,2.731
3675.75,143.022,122.607,2.927,73.248,2.731
3675.875,142.989,117.42,3.418,73.467,2.727
3676,142.864,112.359,3.953,73.5,2.72
3676.125,142.836,108.539,4.426,73.394,2.714
3676.25,143.05,106.462,4.784,73.22,2.711
3676.375,143.37,105.984,5.013,73.05,2.714
3676.5,143.324,106.46,5.116,72.934,2.718
3676.625,142.484,106.617,5.177,72.883,2.72
3676.75,140.966,105.954,5.26,72.883,2.718
3676.875,139.197,104.876,5.385,72.915,2.712
3677,137.288,104.016,5.529,72.97,2.707
3677.125,135.198,103.565,5.648,73.067,2.707
3677.25,132.867,103.439,5.702,73.237,2.715
3677.375,130.731,103.775,5.657,73.501,2.728
3677.5,129.465,104.794,5.504,73.845,2.739
3677.625,129.357,106.523,5.262,74.214,2.74
3677.75,130.155,108.425,4.983,74.54,2.73
3677.875,131.802,109.8,4.737,74.777,2.711
3678,134.134,110.062,4.598,74.923,2.694
3678.125,136.758,109.291,4.593,75.008,2.685
3678.25,139.006,107.916,4.739,75.069,2.688
3678.375,140.129,106.557,5.007,75.125,2.7
3678.5,139.861,105.404,5.341,75.179,2.714
3678.625,138.565,104.077,5.707,75.223,2.723
3678.75,137.134,102.139,6.088,75.249,2.724
3678.875,136.364,99.821,6.447,75.258,2.719
3679,136.764,97.681,6.762,75.253,2.711
3679.125,138.039,96.255,6.997,75.239,2.702
3679.25,139.646,95.74,7.113,75.218,2.696
3679.375,141.347,96.241,7.086,75.191,2.691
3679.5,143.304,97.909,6.905,75.154,2.688
3679.625,145.539,101.446,6.512,75.109,2.689
3679.75,147.848,107.116,5.884,75.063,2.693
3679.875,149.803,113.964,5.105,75.026,2.702
3680,151.265,120.557,4.298,75.004,2.714
3680.125,152.263,125.918,3.583,74.994,2.727
3680.25,152.697,129.611,3.069,74.987,2.737
3680.375,152.417,131.865,2.809,74.971,2.74
3680.5,151.06,132.102,2.889,74.941,2.737
3680.625,148.609,129.623,3.336,74.905,2.731
3680.75,145.37,123.881,4.12,74.879,2.725
3680.875,142.086,115.508,5.11,74.883,2.721
3681,139.595,106.613,6.064,74.927,2.718
3681.125,138.39,99.824,6.734,75.005,2.714
3681.25,138.317,96.49,7.015,75.101,2.708
3681.375,138.988,96.561,6.925,75.199,2.703
3681.5,139.527,98.433,6.639,75.289,2.699
3681.625,139.441,100.921,6.292,75.368,2.698
3681.75,138.774,103.88,5.949,75.434,2.7
3681.875,138.539,107.331,5.642,75.487,2.704
3682,139.541,110.796,5.396,75.519,2.71
3682.125,141.887,113.438,5.2,75.519,2.715
3682.25,144.539,114.484,5.057,75.46,2.717
3682.375,146.213,113.91,4.981,75.312,2.714
3682.5,146.335,112.36,4.99,75.053,2.708
3682.625,145.446,110.055,5.148,74.673,2.701
3682.75,144.066,107.057,5.475,74.164,2.698
3682.875,142.592,103.418,5.941,73.516,2.7
3683,141.159,99.738,6.433,72.74,2.708
3683.125,140.036,96.756,6.833,71.899,2.716
3683.25,139.735,94.808,7.061,71.091,2.721
3683.375,140.367,93.797,7.119,70.395,2.722
3683.5,141.283,93.855,6.992,69.826,2.721
3683.625,141.351,95.004,6.695,69.342,2.719
3683.75,140.048,97.042,6.272,68.905,2.717
3683.875,137.693,99.35,5.783,68.514,2.715
3684,135.301,101.379,5.254,68.189,2.715
3684.125,133.812,102.936,4.717,67.944,2.714
3684.25,133.593,104.462,4.16,67.769,2.713
3684.375,134.256,106.282,3.619,67.642,2.709
3684.5,135.456,108.494,3.147,67.55,2.703
3684.625,136.678,111.082,2.772,67.489,2.695
3684.75,137.617,113.741,2.516,67.453,2.687
3684.875,138.26,116.072,2.435,67.426,2.68
3685,138.69,117.748,2.53,67.387,2.677
3685.125,138.907,118.465,2.759,67.318,2.679
3685.25,138.752,117.989,3.054,67.218,2.686
3685.375,138.087,116.119,3.395,67.101,2.696
3685.5,136.992,113.129,3.773,66.993,2.706
3685.625,135.559,109.591,4.209,66.913,2.717
3685.75,133.895,105.88,4.703,66.862,2.728
3685.875,132.226,102.299,5.2,66.83,2.737
3686,131.334,98.734,5.666,66.795,2.742
