DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,por
3422.625,151.53,102.428,6.544,82.467,2.602,3.5
3422.75,153.798,102.224,6.821,82.766,2.597,3.5
3423.5,158.043,103.735,7.093,82.526,2.574,3.96
3424.25,153.576,100.292,7.084,78.62,2.6,4.22
3425.5,154.179,114.401,5.285,82.446,2.574,4.12
3426.75,137.027,112.208,3.365,77.976,2.585,3.54
3427.5,137.612,111.725,3.46,77.514,2.609,3.63
3428.5,143.174,99.114,5.786,82.402,2.606,4.34
3428.625,142.113,98.474,5.725,82.141,2.603,4.34
3429.5,141.85,99.341,5.501,81.785,2.598,4.14
3430.25,144.732,106.809,5.048,83.424,2.592,4.52
3431.25,133.53,112.668,2.938,80.071,2.589,4.57
3432.375,159.428,122.035,4.916,80.366,2.611,3.9
3433,157.986,112.236,6.245,79.777,2.637,3.67
3433.125,158.217,107.853,6.885,79.428,2.631,3.67
3434.25,177.215,120.939,7.426,81.161,2.592,3.84
3435.125,167.678,108.192,7.835,77.614,2.635,3.22
3435.25,166.962,111.031,7.335,76.827,2.649,3.22
3436.125,153.137,102.186,6.824,73.902,2.623,3.42
3436.25,151.332,100.406,6.837,74.148,2.626,3.42
3437.125,137.355,112.85,3.373,75.223,2.61,2.88
3437.25,134.574,111.143,3.246,75.492,2.613,2.88
3438.25,140.05,102.407,5.009,77.876,2.58,3.65
3439.125,143.499,111.956,4.203,76.846,2.584,3.31
3439.25,142.538,111.069,4.204,76.939,2.583,3.31
3440.125,135.74,90.619,6.064,77.354,2.593,3.59
3440.25,134.292,86.289,6.477,77.324,2.598,3.59
3441.375,132.326,96.962,4.758,75.061,2.609,3.21
3442.25,133.171,88.599,5.852,74.164,2.602,3.14
3443.5,138.119,104.643,4.402,73.956,2.582,3.64
3444.375,139.619,93.264,6.263,75.591,2.611,2.89
3445.5,132.96,95.896,4.934,73.362,2.581,3.06
3446.375,128.241,102.193,3.578,72.228,2.583,3.01
3447.5,130.701,96.105,4.605,72.38,2.58,3.36
3447.625,130.926,95.255,4.746,72.464,2.58,3.36
3448.5,131.388,90.01,5.605,72.612,2.575,3.43
3449.5,125.498,83.65,5.697,72.315,2.581,3.16
3449.625,124.554,83.532,5.609,72.327,2.58,3.16
3450.5,135.024,92.76,5.581,74.197,2.536,3.76
3450.625,135.762,93.638,5.558,74.335,2.53,3.76
3451.625,117.86,75.221,5.778,73.809,2.535,3.79
3451.75,121.168,74.757,6.181,74.248,2.548,3.79
3452.5,133.101,82.068,6.85,75.955,2.537,3.92
3452.625,135.032,84.522,6.743,75.866,2.529,3.92
3453.5,154.014,105.341,6.613,77.08,2.574,3.5
3453.625,167.11,108.848,7.779,77.892,2.585,3.5
3454.5,168.762,85.356,11.372,79.853,2.493,4.87
3455.5,187.618,84.849,14.018,77.286,2.48,5.25
3455.625,195.755,86.625,14.754,77.286,2.493,5.25
3456.5,219.011,74.243,19.694,72.592,2.49,3.64
3456.625,213.049,73.613,19.13,71.433,2.481,3.64
3457.5,180.101,59.618,17.081,67.712,2.506,3.63
3457.625,179.41,56.794,17.447,67.524,2.507,3.63
3458.75,286.964,72.329,28.661,69.337,2.455,3.8
3460,120.08,49.955,9.975,63.946,2.559,1.72
3460.875,81.802,55.835,3.71,64.616,2.512,2.06
3462,73.86,52.81,3.065,64.43,2.539,2.15
