DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,POR
3672.5,134.275,87.256,6.776,69.974,2.718,3.7
3673.375,131.863,92.747,5.989,68.932,2.779,3.2
3674.75,139.925,84.577,8.15,69.391,2.688,3.76
3675.625,142.758,126.032,2.639,72.839,2.731,3.09
3675.75,143.022,122.607,2.927,73.248,2.731,3.09
3676.625,142.484,106.617,5.177,72.883,2.72,3.53
3677.625,129.357,106.523,5.262,74.214,2.74,3.38
3678.75,137.134,102.139,6.088,75.249,2.724,3.69
3679.625,145.539,101.446,6.512,75.109,2.689,3.86
3680.375,152.417,131.865,2.809,74.971,2.74,3.06
3681.625,139.441,100.921,6.292,75.368,2.698,3.29
3682.875,142.592,103.418,5.941,73.516,2.7,2.94
3683.625,141.351,95.004,6.695,69.342,2.719,2.64
3685.5,136.992,113.129,3.773,66.993,2.706,2.84
3686.125,131.848,95.376,6.058,66.733,2.741,2.34
3686.625,134.215,94.03,6.184,66.29,2.737,2.96
3686.75,133.561,96.535,5.881,66.285,2.737,2.96
3688,141.185,115.112,3.497,70.18,2.693,2.48
3688.125,139.177,115.3,3.689,70.294,2.699,2.48
3688.625,136.039,108.227,5.084,69.345,2.746,4.02
3689.875,141.53,103.819,7.117,71.315,2.694,2.87
3690.375,139.402,96.216,7.279,71.906,2.705,3.32
3691.125,137.89,96.201,7.085,74.663,2.709,2.58
3692.625,139.383,106.958,4.758,71.549,2.72,2.73
3693,147.619,117.116,4.402,71.619,2.71,3.51
3694.375,152.511,104.084,6.597,70.111,2.719,3.03
3695.125,149.42,97.709,8.363,70.916,2.72,3.63
3695.25,149.832,97.428,8.372,71.316,2.714,3.63
3695.875,144.1,96.307,7.256,74.143,2.711,3.43
3697,150.877,117.249,5.525,71.371,2.738,3.59
3698.5,149.406,106.812,7.457,73.735,2.699,3.4
3699.25,144.935,114.323,5.63,73.389,2.684,3.27
3700.875,152.787,121.557,4.641,74.689,2.718,3.59
3701,153.908,120.51,4.981,75.119,2.713,3.59
